the_geom,cartodb_id,year,lead_ppb,address,zipcode,latitude,longitude
0101000020E61000004FD7C9CF7CB353C095F0845E7F724540,241,2014,0,"355 Gold Buffalo, NY, 14206",14206,42.894512,-78.8044929
0101000020E6100000B63176C24BB553C01920D1048A704540,242,2014,0,"107 Fleming Buffalo, NY, 14206",14206,42.879212,-78.832749
0101000020E61000006743FE99C1B553C0179AEB34D2704540,243,2014,0,"246 Oneida Buffalo, NY, 14206",14206,42.881415,-78.8399415
0101000020E610000053E9279CDDB353C0003B376DC66F4540,244,2014,0,"45 Kopernik Buffalo, NY, 14206",14206,42.873243,-78.810401
0101000020E61000000CCA349A5CB953C0342C465D6B7B4540,245,2014,0,"2220 Kenmore Ave. Buffalo, NY, 14207",14207,42.964214,-78.896277
0101000020E6100000DFC0E44691B953C0D1E80E6267784540,246,2014,0,"422 Tonawanda Buffalo, NY, 14207",14207,42.940655,-78.899492
0101000020E6100000AA44D95B4AB453C01FC99BB2896E4540,247,2014,0,"70 Avondale Buffalo, NY, 14210",14210,42.8635772,-78.8170385
0101000020E6100000C5E74EB0FFB353C0D84812842B6E4540,248,2014,0,"72 Roanoke Buffalo, NY, 14210",14210,42.860703,-78.812481
0101000020E6100000FB912232ACB853C030849CF7FF734540,250,2014,0,"46 15th St. Buffalo, NY, 14213",14213,42.906249,-78.88551
0101000020E61000009EB29AAE27B653C025AB22DC64784540,251,2014,0,"487 Crescent Buffalo, NY, 14214",14214,42.940578,-78.846172
0101000020E6100000BEA7CD9346B553C07A5803EF3F784540,252,2014,0,"64 Bennett Village Buffalo, NY, 14214",14214,42.9394511,-78.8324327
0101000020E6100000EAFBBA1DABB553C01CDA1198987A4540,253,2014,0,"66 N. Parker Buffalo, NY, 14216",14216,42.9577818,-78.8385691
0101000020E610000022718FA50FB653C0BD38F1D58E7A4540,254,2014,0,"55 Coburg Buffalo, NY, 14216",14216,42.957484,-78.844705
0101000020E610000044C2F7FE06B753C09BC24A0515794540,255,2014,0,"48 Rugby Buffalo, NY, 14216",14216,42.945954,-78.859802
0101000020E6100000FDA4DAA7E3B753C0F0C3414294794540,256,2014,0,"72 Camden Buffalo, NY, 14216",14216,42.949837,-78.87327
0101000020E6100000C8D2872EA8B653C0EE27637C98794540,257,2014,0,"195 Norwalk Buffalo, NY, 14216",14216,42.949966,-78.854015
0101000020E6100000FDD98F1491B453C07A3881E9B46A4540,258,2014,0,"14 Sibley Buffalo, NY, 14220",14220,42.833646,-78.821355
0101000020E61000003F2EBB711CB553C0232FC61BF46C4540,259,2014,0,"61 Koester Buffalo, NY, 14220",14220,42.8511996,-78.8298611
0101000020E61000003EF1F7E612B553C08835F0FED36B4540,260,2014,0,"79 West Woodside Buffalo, NY, 14220",14220,42.8424071,-78.8292787
0101000020E6100000A1832EE1D0B453C0B8A7AB3B166D4540,261,2014,0,"1706 South Park Buffalo, NY, 14220",14220,42.852241,-78.825249
0101000020E6100000A35A441493B453C001F8A754896C4540,262,2014,0,"58 Columbus Buffalo, NY, 14220",14220,42.847941,-78.821477
0101000020E61000004AB20E4757B453C0BA13ECBFCE6B4540,263,2014,1,"156 Woodside Buffalo, NY, 14220",14220,42.842247,-78.817827
0101000020E6100000BE89213999B753C0B4A3DD8DAA764540,264,2014,1.1,"37 Berkley Place Buffalo, NY, 14209",14209,42.9270799,-78.868727
0101000020E61000000BB6114F76B953C03E5A9C31CC754540,265,2014,1.1,"16 Lafayette Buffalo, NY, 14213",14213,42.920294,-78.897846
0101000020E610000095CCB1BCABB553C062A2410A9E7A4540,266,2014,1.1,"72 N. Parker Buffalo, NY, 14216",14216,42.957948,-78.838607
0101000020E61000003365F1ACEEB653C0A78EFA905C734540,267,2014,1.2,"263 Lemon Buffalo, NY, 14204",14204,42.9012624,-78.8583176
0101000020E6100000CA1AF5108DB953C0F9F6AE415F7A4540,268,2014,1.2,"28 Henrietta Buffalo, NY, 14207",14207,42.956032,-78.899235
0101000020E6100000B45BCB6438B353C0C05EBC7A706F4540,269,2014,1.4,"124 Pierce Buffalo, NY, 14206",14206,42.8706201,-78.800317
0101000020E61000004312071A7DB853C0EA7B0DC171794540,270,2014,1.5,"34 Greeley Buffalo, NY, 14207",14207,42.948784,-78.8826356
0101000020E61000004C7D0F4D8FB353C0DBC8D00C3D794540,271,2014,1.5,"213 Rounds Buffalo, NY, 14215",14215,42.9471756,-78.8056214
0101000020E6100000E6E104A6D3B653C05C7171546E744540,272,2014,1.6,"260 Riley Buffalo, NY, 14208",14208,42.909617,-78.856668
0101000020E6100000C100C28712B453C00BD0B69A756E4540,273,2014,1.7,"111 Sage Buffalo, NY, 14210",14210,42.862964,-78.813631
0101000020E61000003CFF870588B353C08A1755D0FE6D4540,274,2014,1.7,"44 Frank Buffalo, NY, 14210",14210,42.8593388,-78.8051771
0101000020E6100000E7357689EAB853C02DCBD765F8754540,275,2014,1.7,"50 Greenwood Place Buffalo, NY, 14213",14213,42.921643,-78.889315
0101000020E61000002B90341367B353C0EEE76F9DDA774540,276,2014,1.8,"277 Hastings Buffalo, NY, 14215",14215,42.9363591,-78.8031662
0101000020E61000002D5679A7A7B953C01A379089EF7A4540,277,2014,1.9,"14 Rosedale Buffalo, NY, 14207",14207,42.9604351,-78.9008578
0101000020E6100000D6F7E12021B753C085562767287A4540,278,2014,1.9,"335 Commonwealth Buffalo, NY, 14216",14216,42.954358,-78.861397
0101000020E6100000FF32294F6AB553C00ACE2A7D32784540,279,2014,2,"5 Bennett Village Buffalo, NY, 14214",14214,42.9390408,-78.8346136
0101000020E61000005BCF108E59B453C0075DC2A1B76C4540,280,2014,2,"40 Strathmore Buffalo, NY, 14220",14220,42.849354,-78.817966
0101000020E6100000EDEB6580B0B353C04128EFE368724540,281,2014,2.1,"328 Ideal Buffalo, NY, 14206",14206,42.893826,-78.8076478
0101000020E6100000EB18B2150FBA53C0D33483537A794540,282,2014,2.1,"64 Fuller Street Buffalo, NY, 14207",14207,42.9490456,-78.9071707
0101000020E6100000D8C4B8D136B653C014419C8713784540,283,2014,2.1,"91 Russell Buffalo, NY, 14214",14214,42.938096,-78.8470959
0101000020E6100000CE9F8037EEB653C02133614557754540,284,2014,2.2,"153 Chester Buffalo, NY, 14208",14208,42.9167258,-78.8582896
0101000020E6100000349E08E23CB653C0C6BFCFB870784540,285,2014,2.5,"279 Summit Buffalo, NY, 14216",14216,42.94094,-78.847466
0101000020E61000006B2DCC423BB653C0ABB4C5353E754540,286,2014,2.8,"127 Butler Buffalo, NY, 14208",14208,42.915961,-78.847367
0101000020E61000007B13437232B453C08FDFDBF467774540,287,2014,2.8,"73 Berwyn Buffalo, NY, 14215",14215,42.93286,-78.815579
